id|symbol|name|exchange|sector|industry
1|PIH|1347 Property Insurance Holdings, Inc.|nasdaq|Finance|Property-Casualty Insurers
2|TURN|180 Degree Capital Corp.|nasdaq|Finance|Finance/Investors Services
3|FLWS|1-800 FLOWERS.COM, Inc.|nasdaq|Consumer Services|Other Specialty Stores
4|FCCY|1st Constitution Bancorp (NJ)|nasdaq|Finance|Savings Institutions
5|SRCE|1st Source Corporation|nasdaq|Finance|Major Banks
6|VNET|21Vianet Group, Inc.|nasdaq|Technology|Computer Software: Programming, Data Processing
7|TWOU|2U, Inc.|nasdaq|Technology|Computer Software: Prepackaged Software
8|JOBS|51job, Inc.|nasdaq|Technology|Diversified Commercial Services
9|CAFD|8point3 Energy Partners LP|nasdaq|Public Utilities|Electric Utilities: Central
10|EGHT|8x8 Inc|nasdaq|Public Utilities|Telecommunications Equipment
11|AVHI|A V Homes, Inc.|nasdaq|Capital Goods|Homebuilding
12|SHLM|A. Schulman, Inc.|nasdaq|Basic Industries|Major Chemicals
13|AAON|AAON, Inc.|nasdaq|Capital Goods|Industrial Machinery/Components
14|ABAX|ABAXIS, Inc.|nasdaq|Capital Goods|Industrial Machinery/Components
15|ABEO|Abeona Therapeutics Inc.|nasdaq|Health Care|Major Pharmaceuticals
16|ABEOW|Abeona Therapeutics Inc.|nasdaq|Health Care|Major Pharmaceuticals
17|ABIL|Ability Inc.|nasdaq|Finance|Business Services
18|ABMD|ABIOMED, Inc.|nasdaq|Health Care|Medical/Dental Instruments
19|ABLX|Ablynx NV|nasdaq|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)
20|AXAS|Abraxas Petroleum Corporation|nasdaq|Energy|Oil & Gas Production
21|ACIU|AC Immune SA|nasdaq|Health Care|Major Pharmaceuticals
22|ACIA|Acacia Communications, Inc.|nasdaq|Technology|Semiconductors
23|ACTG|Acacia Research Corporation|nasdaq|Miscellaneous|Multi-Sector Companies
24|ACHC|Acadia Healthcare Company, Inc.|nasdaq|Health Care|Medical Specialities
25|ACAD|ACADIA Pharmaceuticals Inc.|nasdaq|Health Care|Major Pharmaceuticals
26|ACST|Acasti Pharma, Inc.|nasdaq|Health Care|Major Pharmaceuticals
27|AXDX|Accelerate Diagnostics, Inc.|nasdaq|Capital Goods|Biotechnology: Laboratory Analytical Instruments
28|XLRN|Acceleron Pharma Inc.|nasdaq|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)
29|ANCX|Access National Corporation|nasdaq|Finance|Savings Institutions
30|ARAY|Accuray Incorporated|nasdaq|Health Care|Medical/Dental Instruments
31|ACRX|AcelRx Pharmaceuticals, Inc.|nasdaq|Health Care|Major Pharmaceuticals
32|ACER|Acer Therapeutics Inc.|nasdaq|Health Care|Major Pharmaceuticals
33|ACERW|Acer Therapeutics Inc.|nasdaq|Health Care|Major Pharmaceuticals
34|ACET|Aceto Corporation|nasdaq|Health Care|Other Pharmaceuticals
35|AKAO|Achaogen, Inc.|nasdaq|Health Care|Major Pharmaceuticals
36|ACHV|Achieve Life Sciences, Inc. |nasdaq|Health Care|Biotechnology: In Vitro & In Vivo Diagnostic Substances
37|ACHN|Achillion Pharmaceuticals, Inc.|nasdaq|Health Care|Major Pharmaceuticals
38|ACIW|ACI Worldwide, Inc.|nasdaq|Technology|Computer Software: Prepackaged Software
39|ACRS|Aclaris Therapeutics, Inc.|nasdaq|Health Care|Major Pharmaceuticals
40|ACMR|ACM Research, Inc.|nasdaq|Technology|Industrial Machinery/Components
41|ACNB|ACNB Corporation|nasdaq|Finance|Major Banks
42|ACOR|Acorda Therapeutics, Inc.|nasdaq|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)
43|SQZZ|Active Alts Contrarian ETF|nasdaq|n/a|n/a
44|ATVI|Activision Blizzard, Inc|nasdaq|Technology|Computer Software: Prepackaged Software
45|ACTA|Actua Corporation|nasdaq|Technology|EDP Services
46|ACXM|Acxiom Corporation|nasdaq|Technology|EDP Services
47|ADMS|Adamas Pharmaceuticals, Inc.|nasdaq|Health Care|Major Pharmaceuticals
48|ADMP|Adamis Pharmaceuticals Corporation|nasdaq|Health Care|Major Pharmaceuticals
49|ADAP|Adaptimmune Therapeutics plc|nasdaq|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)
50|ADUS|Addus HomeCare Corporation|nasdaq|Health Care|Medical/Nursing Services
51|AEY|ADDvantage Technologies Group, Inc.|nasdaq|Consumer Services|Office Equipment/Supplies/Services
52|IOTS|Adesto Technologies Corporation|nasdaq|Technology|Semiconductors
53|ADMA|ADMA Biologics Inc|nasdaq|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)
54|ADBE|Adobe Systems Incorporated|nasdaq|Technology|Computer Software: Prepackaged Software
55|ADOM|ADOMANI, Inc.|nasdaq|Capital Goods|Auto Parts:O.E.M.
56|ADTN|ADTRAN, Inc.|nasdaq|Public Utilities|Telecommunications Equipment
57|ADRO|Aduro Biotech, Inc.|nasdaq|Health Care|Major Pharmaceuticals
58|AAAP|Advanced Accelerator Applications S.A.|nasdaq|Health Care|Major Pharmaceuticals
59|ADES|Advanced Emissions Solutions, Inc.|nasdaq|Basic Industries|Major Chemicals
60|AEIS|Advanced Energy Industries, Inc.|nasdaq|Capital Goods|Industrial Machinery/Components
61|AMD|Advanced Micro Devices, Inc.|nasdaq|Technology|Semiconductors
62|ADXS|Advaxis, Inc.|nasdaq|Health Care|Major Pharmaceuticals
63|ADXSW|Advaxis, Inc.|nasdaq|Health Care|Major Pharmaceuticals
64|ADVM|Adverum Biotechnologies, Inc.|nasdaq|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)
65|AEGN|Aegion Corp|nasdaq|Basic Industries|Water Supply
66|AGLE|Aeglea BioTherapeutics, Inc.|nasdaq|Health Care|Major Pharmaceuticals
67|AEHR|Aehr Test Systems|nasdaq|Capital Goods|Electrical Products
68|AMTX|Aemetis, Inc|nasdaq|Basic Industries|Major Chemicals
69|AERI|Aerie Pharmaceuticals, Inc.|nasdaq|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)
70|AVAV|AeroVironment, Inc.|nasdaq|Capital Goods|Aerospace
71|AEZS|AEterna Zentaris Inc.|nasdaq|Health Care|Major Pharmaceuticals
72|AEMD|Aethlon Medical, Inc.|nasdaq|Capital Goods|Biotechnology: Laboratory Analytical Instruments
73|GNMX|Aevi Genomic Medicine, Inc.|nasdaq|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)
74|AFMD|Affimed N.V.|nasdaq|Health Care|Major Pharmaceuticals
75|AGEN|Agenus Inc.|nasdaq|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)
76|AGRX|Agile Therapeutics, Inc.|nasdaq|Health Care|Major Pharmaceuticals
77|AGYS|Agilysys, Inc.|nasdaq|Technology|EDP Services
